Atlanta;Augusta;140
Augusta;Atlanta;140
Atlanta;Athens;70
Athens;Atlanta;70
Atlanta;Macon;80
Macon;Atlanta;80
Macon;Savannah;160
Savannah;Macon;160
Macon;Valdosta;150
Valdosta;Macon;150
Macon;WarnerRobins;20
WarnerRobins;Macon;20
Savannah;Baxley;110
Baxley;Savannah;110
Macon;Baxley;120
Baxley;Macon;120
FtOglethorpe;Atlanta;110
Atlanta;FtOglethorpe;110
Norcross;Atlanta;20
Atlanta;Norcross;20
Suwanee;Norcross;20
Norcross;Suwanee;20
Suwanee;Atlanta;30
Atlanta;Suwanee;30
Macon;Conyers;90
Conyers;Macon;90
Conyers;Atlanta;20
